lon lat z
68.25 21.25 483.5333251953125
68.25 21.75 539.7288818359375
68.25 22.25 415.7333374023438
68.25 22.75 405.5333251953125
68.25 23.25 287.2666625976562
68.25 23.75 484.977783203125
68.25 24.25 346.3555603027344
68.25 24.75 436.8666687011719
68.25 25.25 323.2725830078125
68.25 25.75 321.1555480957031
68.25 26.25 277.8666687011719
68.25 26.75 279.86962890625
68.25 27.25 282.7333374023438
68.25 27.75 288.0044555664062
68.25 28.25 271.7111206054688
68.25 28.75 154.9407348632812
68.25 29.25 152.3333282470703
68.25 29.75 282.9333190917969
68.25 30.25 198.7333374023438
68.25 30.75 168.1333312988281
68.25 31.25 133.8444519042969
68.25 31.75 274.4207458496094
68.25 32.25 209.1244506835938
68.25 32.75 299.2666625976562
68.25 33.25 141
68.25 33.75 216.0666656494141
68.25 34.25 302.108154296875
68.25 34.75 202.8444519042969
68.25 35.25 154.7333374023438
68.25 35.75 215.3437042236328
68.25 36.25 232.2666625976562
68.25 36.75 240
68.25 37.25 219.2666625976562
68.25 37.75 227
68.25 38.25 119.8533325195312
68.25 38.75 1.162962913513184
68.25 39.25 -54.099609375
68.75 16.25 72.79012298583984
68.75 16.75 -181.1132965087891
68.75 17.25 -3.331835508346558
68.75 17.75 237.21728515625
68.75 18.25 682.6049194335938
68.75 18.75 589.7036743164062
68.75 19.25 966.3110961914062
68.75 19.75 416.0987548828125
68.75 20.25 983.0888671875
68.75 20.75 693.1654052734375
68.75 21.25 484
68.75 21.75 737.0740966796875
68.75 22.25 439
68.75 22.75 460
68.75 23.25 380.8814697265625
68.75 23.75 419.7530822753906
68.75 24.25 523.543212890625
68.75 24.75 400
68.75 25.25 302.0123596191406
68.75 25.75 373.8246765136719
68.75 26.25 179.1851806640625
68.75 26.75 264.5827026367188
68.75 27.25 215.6395111083984
68.75 27.75 139.022216796875
68.75 28.25 155.4642028808594
68.75 28.75 197.9012298583984
68.75 29.25 185.022216796875
68.75 29.75 182.9678955078125
68.75 30.25 198.1580200195312
68.75 30.75 100
68.75 31.25 110.0617294311523
68.75 31.75 150
68.75 32.25 61.57036972045898
68.75 32.75 118.3555526733398
68.75 33.25 153.2098693847656
68.75 33.75 210
68.75 34.25 186
68.75 34.75 271.1111145019531
68.75 35.25 178
68.75 35.75 207.1555480957031
68.75 36.25 280.1111145019531
68.75 36.75 177.8814849853516
68.75 37.25 100.3135833740234
68.75 37.75 -76.38333129882812
68.75 38.25 -131.4434814453125
68.75 38.75 -127.5251846313477
68.75 39.25 -119.6471405029297
69.25 16.25 -350.0484313964844
69.25 16.75 -72.44925689697266
69.25 17.25 518.7214965820312
69.25 17.75 162.0602416992188
69.25 18.25 374.7111206054688
69.25 18.75 424.9925842285156
69.25 19.25 0
69.25 19.75 502.3279113769531
69.25 20.25 863.7866821289062
69.25 20.75 1001.844421386719
69.25 21.25 835.2321166992188
69.25 21.75 736.6444702148438
69.25 22.25 637.388671875
69.25 22.75 399
69.25 23.25 480.7229614257812
69.25 23.75 386.04443359375
69.25 24.25 419
69.25 24.75 293.0666809082031
69.25 25.25 329.977783203125
69.25 25.75 249.977783203125
69.25 26.25 413.977783203125
69.25 26.75 316.1333312988281
69.25 27.25 192.8666687011719
69.25 27.75 170
69.25 28.25 127.6222229003906
69.25 28.75 162.0395050048828
69.25 29.25 52
69.25 29.75 191.0666656494141
69.25 30.25 227.0923461914062
69.25 30.75 142.4918518066406
69.25 31.25 228.9111175537109
69.25 31.75 253.5333404541016
69.25 32.25 175.3081512451172
69.25 32.75 9.423210144042969
69.25 33.25 0
69.25 33.75 31.24444389343262
69.25 34.25 175.934326171875
69.25 34.75 72.82321166992188
69.25 35.25 6.355555534362793
69.25 35.75 -142.4980316162109
69.25 36.25 -191.6099395751953
69.25 36.75 -188.6553497314453
69.25 37.25 -187.8119201660156
69.25 37.75 -192.9149017333984
69.25 38.25 -194.6724548339844
69.25 38.75 -165.1921691894531
69.25 39.25 -142.8906707763672
69.75 16.25 -1139.392822265625
69.75 16.75 -232.2339935302734
69.75 17.25 -134.6915588378906
69.75 17.75 -389.1084899902344
69.75 18.25 0
69.75 18.75 601.5999755859375
69.75 19.25 201.8133392333984
69.75 19.75 -152.1138305664062
69.75 20.25 660.52001953125
69.75 20.75 178.2311096191406
69.75 21.25 49.9555549621582
69.75 21.75 516.306640625
69.75 22.25 570.5555419921875
69.75 22.75 536.3822021484375
69.75 23.25 285.4666748046875
69.75 23.75 71.15555572509766
69.75 24.25 411.2000122070312
69.75 24.75 504
69.75 25.25 248.3600006103516
69.75 25.75 340.9244384765625
69.75 26.25 177.8000030517578
69.75 26.75 269.6000061035156
69.75 27.25 312.6000061035156
69.75 27.75 380.2666625976562
69.75 28.25 237.8000030517578
69.75 28.75 196.7333374023438
69.75 29.25 120.4000015258789
69.75 29.75 0
69.75 30.25 53
69.75 30.75 153.3066711425781
69.75 31.25 -0.1240958645939827
69.75 31.75 172.6666717529297
69.75 32.25 203.9733276367188
69.75 32.75 95.32888793945312
69.75 33.25 -127.676628112793
69.75 33.75 -240.8052368164062
69.75 34.25 -166.4710540771484
69.75 34.75 -213.3314971923828
69.75 35.25 -232.9648895263672
69.75 35.75 -214.2993927001953
69.75 36.25 -172.0002136230469
69.75 36.75 -136.6526336669922
69.75 37.25 -112.6191024780273
69.75 37.75 -113.8417282104492
69.75 38.25 -122.9245758056641
69.75 38.75 -124.2256011962891
69.75 39.25 -146.0774536132812
70.25 16.25 -1976.377807617188
70.25 16.75 -1534.797729492188
70.25 17.25 -237.8074951171875
70.25 17.75 -242.6137847900391
70.25 18.25 -175.5185241699219
70.25 18.75 -47.50250244140625
70.25 19.25 -0.8984128832817078
70.25 19.75 193.8454284667969
70.25 20.25 442.8399963378906
70.25 20.75 -46.37089157104492
70.25 21.25 0
70.25 21.75 -3.296685457229614
70.25 22.25 368.7698669433594
70.25 22.75 246.6098785400391
70.25 23.25 24.30518531799316
70.25 23.75 510.9284057617188
70.25 24.25 275.0138244628906
70.25 24.75 361.0044555664062
70.25 25.25 67.88888549804688
70.25 25.75 601.8632202148438
70.25 26.25 225.1185150146484
70.25 26.75 221.0775299072266
70.25 27.25 320
70.25 27.75 220.0444488525391
70.25 28.25 41.82123565673828
70.25 28.75 303.1777648925781
70.25 29.25 183.7555541992188
70.25 29.75 496.1555480957031
70.25 30.25 170.3111114501953
70.25 30.75 -4.298293590545654
70.25 31.25 -190.5082855224609
70.25 31.75 -326.0364990234375
70.25 32.25 -284.36572265625
70.25 32.75 -159.8244171142578
70.25 33.25 -270.0947875976562
70.25 33.75 -236.8476257324219
70.25 34.25 -251.6122283935547
70.25 34.75 -251.2198486328125
70.25 35.25 -195.8970031738281
70.25 35.75 -159.3054504394531
70.25 36.25 -160.5748596191406
70.25 36.75 -173.2580871582031
70.25 37.25 -182.1441650390625
70.25 37.75 -192.5375823974609
70.25 38.25 -197.7385101318359
70.25 38.75 -201.8559417724609
70.25 39.25 -206.1077270507812
70.75 16.25 -1677.0400390625
70.75 16.75 -1176.015991210938
70.75 17.25 -351.1377258300781
70.75 17.75 -260.1439208984375
70.75 18.25 -252.0211639404297
70.75 18.75 -341.388916015625
70.75 19.25 -180.1045684814453
70.75 19.75 -177.6356658935547
70.75 20.25 -204.560546875
70.75 20.75 -230.6872711181641
70.75 21.25 -229.7981262207031
70.75 21.75 -329.0730895996094
70.75 22.25 -50.3212776184082
70.75 22.75 411.0306091308594
70.75 23.25 298.9940795898438
70.75 23.75 -0.1576083302497864
